Run,Velocity,Protocol,Metric,Value
138,0.5,LW-Sync,Skew,3.73136
134,0.5,LW-Sync,Offset,156.593
134,0.5,LW-Sync,Skew,16.9368
139,0.5,LW-Sync,Offset,124.586
139,0.5,LW-Sync,Skew,37.2685
140,0.5,LW-Sync,Offset,132.068
140,0.5,LW-Sync,Skew,44.9788
141,0.5,LW-Sync,Offset,132.228
141,0.5,LW-Sync,Skew,30.8725
142,0.5,LW-Sync,Offset,120.633
142,0.5,LW-Sync,Skew,18.377
143,0.5,LW-Sync,Offset,191.025
143,0.5,LW-Sync,Skew,49.5906
145,0.5,LW-Sync,Offset,127.006
145,0.5,LW-Sync,Skew,146.591
144,0.5,LW-Sync,Offset,147.062
144,0.5,LW-Sync,Skew,69.0325
146,0.5,LW-Sync,Offset,144.978
146,0.5,LW-Sync,Skew,10.3142
147,0.5,LW-Sync,Offset,148.596
147,0.5,LW-Sync,Skew,13.9069
148,0.5,LW-Sync,Offset,188.495
148,0.5,LW-Sync,Skew,110.121
149,0.5,LW-Sync,Offset,173.292
149,0.5,LW-Sync,Skew,63.0627
151,0.5,LW-Sync,Offset,118.205
151,0.5,LW-Sync,Skew,29.7594
150,0.5,LW-Sync,Offset,158.73
150,0.5,LW-Sync,Skew,52.2161
152,0.5,LW-Sync,Offset,94.8429
152,0.5,LW-Sync,Skew,51.0447
154,0.5,LW-Sync,Offset,114.536
154,0.5,LW-Sync,Skew,52.5936
153,0.5,LW-Sync,Offset,105.544
153,0.5,LW-Sync,Skew,14.7993
155,0.5,LW-Sync,Offset,104.627
155,0.5,LW-Sync,Skew,63.4174
156,0.5,LW-Sync,Offset,192.589
156,0.5,LW-Sync,Skew,7.02072
157,0.5,LW-Sync,Offset,203.843
157,0.5,LW-Sync,Skew,76.3791
158,0.5,LW-Sync,Offset,129.056
158,0.5,LW-Sync,Skew,14.3364
159,0.5,LW-Sync,Offset,159.891
159,0.5,LW-Sync,Skew,27.0269
160,0.5,LW-Sync,Offset,187.428
160,0.5,LW-Sync,Skew,26.7973
162,0.5,LW-Sync,Offset,94.2235
162,0.5,LW-Sync,Skew,52.8528
161,0.5,LW-Sync,Offset,201.704
161,0.5,LW-Sync,Skew,55.2306
163,0.5,LW-Sync,Offset,155.83
163,0.5,LW-Sync,Skew,23.7081
165,0.5,LW-Sync,Offset,132.754
165,0.5,LW-Sync,Skew,27.1823
164,0.5,LW-Sync,Offset,121.409
164,0.5,LW-Sync,Skew,18.6624
167,0.5,LW-Sync,Offset,183.745
167,0.5,LW-Sync,Skew,102.488
166,0.5,LW-Sync,Offset,133.595
166,0.5,LW-Sync,Skew,11.0046
169,0.5,LW-Sync,Offset,122.669
169,0.5,LW-Sync,Skew,111.257
168,0.5,LW-Sync,Offset,197.365
168,0.5,LW-Sync,Skew,28.0309
170,0.5,LW-Sync,Offset,167.767
170,0.5,LW-Sync,Skew,9.31247
171,0.5,LW-Sync,Offset,125.378
171,0.5,LW-Sync,Skew,36.0481
173,0.5,LW-Sync,Offset,123.71
173,0.5,LW-Sync,Skew,30.4024
172,0.5,LW-Sync,Offset,101.473
172,0.5,LW-Sync,Skew,15.5981
174,0.5,LW-Sync,Offset,162.685
174,0.5,LW-Sync,Skew,17.6687
175,0.5,LW-Sync,Offset,167.648
175,0.5,LW-Sync,Skew,25.8241
176,0.5,LW-Sync,Offset,117.267
176,0.5,LW-Sync,Skew,79.1609
177,0.5,LW-Sync,Offset,147.633
177,0.5,LW-Sync,Skew,21.8964
179,0.5,LW-Sync,Offset,136.756
179,0.5,LW-Sync,Skew,7.45968
178,0.5,LW-Sync,Offset,120.769
178,0.5,LW-Sync,Skew,72.6264
180,0.5,LW-Sync,Offset,184.259
180,0.5,LW-Sync,Skew,79.0832
182,0.5,LW-Sync,Offset,84.493
182,0.5,LW-Sync,Skew,41.573
181,0.5,LW-Sync,Offset,163.594
181,0.5,LW-Sync,Skew,53.9691
183,0.5,LW-Sync,Offset,146.166
183,0.5,LW-Sync,Skew,21.2682
184,0.5,LW-Sync,Offset,136.387
184,0.5,LW-Sync,Skew,17.7954
186,0.5,LW-Sync,Offset,165.351
186,0.5,LW-Sync,Skew,18.74
185,0.5,LW-Sync,Offset,139.13
185,0.5,LW-Sync,Skew,6.27862
187,0.5,LW-Sync,Offset,154.292
187,0.5,LW-Sync,Skew,28.2179
188,0.5,LW-Sync,Offset,141.537
188,0.5,LW-Sync,Skew,30.7455
190,0.5,LW-Sync,Offset,149.178
190,0.5,LW-Sync,Skew,2.2719
191,0.5,LW-Sync,Offset,146.567
191,0.5,LW-Sync,Skew,34.1439
189,0.5,LW-Sync,Offset,110.08
189,0.5,LW-Sync,Skew,19.6868
192,0.5,LW-Sync,Offset,120.253
192,0.5,LW-Sync,Skew,24.7946
193,0.5,LW-Sync,Offset,151.325
193,0.5,LW-Sync,Skew,38.613
194,0.5,LW-Sync,Offset,118.262
194,0.5,LW-Sync,Skew,34.9384
195,0.5,LW-Sync,Offset,109.182
195,0.5,LW-Sync,Skew,32.5854
196,0.5,LW-Sync,Offset,121.117
196,0.5,LW-Sync,Skew,97.5792
197,0.5,LW-Sync,Offset,89.058
197,0.5,LW-Sync,Skew,101.588
198,0.5,LW-Sync,Offset,189
198,0.5,LW-Sync,Skew,64.6367
199,0.5,LW-Sync,Offset,88.4073
199,0.5,LW-Sync,Skew,37.6661
200,0.5,LW-Sync,Offset,111.395
200,0.5,LW-Sync,Skew,32.3947
201,0.5,LW-Sync,Offset,147.715
201,0.5,LW-Sync,Skew,68.921
202,0.5,LW-Sync,Offset,205.128
202,0.5,LW-Sync,Skew,10.9183
203,0.5,LW-Sync,Offset,148.031
203,0.5,LW-Sync,Skew,45.7694
205,0.5,LW-Sync,Offset,129.447
205,0.5,LW-Sync,Skew,5.37459
204,0.5,LW-Sync,Offset,159.895
204,0.5,LW-Sync,Skew,20.0333
206,0.5,LW-Sync,Offset,144.644
206,0.5,LW-Sync,Skew,17.0064
207,0.5,LW-Sync,Offset,109.797
207,0.5,LW-Sync,Skew,29.736
208,0.5,LW-Sync,Offset,146.407
208,0.5,LW-Sync,Skew,19.8319
209,0.5,LW-Sync,Offset,166.609
209,0.5,LW-Sync,Skew,24.4391
210,0.5,LW-Sync,Offset,140.086
210,0.5,LW-Sync,Skew,14.7132
211,0.5,LW-Sync,Offset,94.4331
211,0.5,LW-Sync,Skew,16.1637
212,0.5,LW-Sync,Offset,153.311
212,0.5,LW-Sync,Skew,40.7351
213,0.5,LW-Sync,Offset,173.457
213,0.5,LW-Sync,Skew,43.8314
214,0.5,LW-Sync,Offset,109.118
214,0.5,LW-Sync,Skew,30.5396
215,0.5,LW-Sync,Offset,116.869
215,0.5,LW-Sync,Skew,0.256172
216,0.5,LW-Sync,Offset,152.474
216,0.5,LW-Sync,Skew,21.0269
218,0.5,LW-Sync,Offset,155.92
218,0.5,LW-Sync,Skew,18.3523
219,0.5,LW-Sync,Offset,194.727
219,0.5,LW-Sync,Skew,7.20106
217,0.5,LW-Sync,Offset,196.142
217,0.5,LW-Sync,Skew,79.7054
220,0.5,LW-Sync,Offset,137.972
220,0.5,LW-Sync,Skew,2.02281
222,0.5,LW-Sync,Offset,121.87
222,0.5,LW-Sync,Skew,17.5311
223,0.5,LW-Sync,Offset,146.38
223,0.5,LW-Sync,Skew,66.9584
224,0.5,LW-Sync,Offset,174.875
224,0.5,LW-Sync,Skew,53.4916
221,0.5,LW-Sync,Offset,140.903
221,0.5,LW-Sync,Skew,6.58852
225,0.5,LW-Sync,Offset,103.015
225,0.5,LW-Sync,Skew,11.4099
226,0.5,LW-Sync,Offset,110.552
226,0.5,LW-Sync,Skew,26.2362
227,0.5,LW-Sync,Offset,128.915
227,0.5,LW-Sync,Skew,10.1002
229,0.5,LW-Sync,Offset,112.882
229,0.5,LW-Sync,Skew,4.92078
230,0.5,LW-Sync,Offset,116.209
230,0.5,LW-Sync,Skew,78.4748
228,0.5,LW-Sync,Offset,200.215
228,0.5,LW-Sync,Skew,10.8469
232,0.5,LW-Sync,Offset,130.58
232,0.5,LW-Sync,Skew,7.68241
231,0.5,LW-Sync,Offset,92.5154
231,0.5,LW-Sync,Skew,94.543
234,0.5,LW-Sync,Offset,189.945
234,0.5,LW-Sync,Skew,59.3105
233,0.5,LW-Sync,Offset,111.661
233,0.5,LW-Sync,Skew,16.382
237,0.5,LW-Sync,Offset,140.279
237,0.5,LW-Sync,Skew,50.7012
235,0.5,LW-Sync,Offset,156.859
235,0.5,LW-Sync,Skew,134.25
238,0.5,LW-Sync,Offset,156.117
238,0.5,LW-Sync,Skew,29.9488
236,0.5,LW-Sync,Offset,117.001
236,0.5,LW-Sync,Skew,80.2038
239,0.5,LW-Sync,Offset,133.446
239,0.5,LW-Sync,Skew,0.726503
240,0.5,LW-Sync,Offset,182.399
240,0.5,LW-Sync,Skew,6.6629
241,0.5,LW-Sync,Offset,70.0604
241,0.5,LW-Sync,Skew,28.3755
242,0.5,LW-Sync,Offset,153.344
242,0.5,LW-Sync,Skew,8.16508
243,0.5,LW-Sync,Offset,111.594
243,0.5,LW-Sync,Skew,76.732
244,0.5,LW-Sync,Offset,140.794
244,0.5,LW-Sync,Skew,14.9807
245,0.5,LW-Sync,Offset,209.855
245,0.5,LW-Sync,Skew,68.654
247,0.5,LW-Sync,Offset,131.737
247,0.5,LW-Sync,Skew,39.0692
246,0.5,LW-Sync,Offset,128.025
246,0.5,LW-Sync,Skew,30.8172
250,0.5,LW-Sync,Offset,164.881
250,0.5,LW-Sync,Skew,54.4033
248,0.5,LW-Sync,Offset,165.77
248,0.5,LW-Sync,Skew,44.3545
249,0.5,LW-Sync,Offset,142.503
249,0.5,LW-Sync,Skew,29.487
251,0.5,LW-Sync,Offset,172.684
251,0.5,LW-Sync,Skew,67.4179
252,0.5,LW-Sync,Offset,151.431
252,0.5,LW-Sync,Skew,16.9268
253,0.5,LW-Sync,Offset,195.616
253,0.5,LW-Sync,Skew,89.3323
255,0.5,LW-Sync,Offset,152.915
255,0.5,LW-Sync,Skew,46.5978
254,0.5,LW-Sync,Offset,93.5433
254,0.5,LW-Sync,Skew,16.2306
257,0.5,LW-Sync,Offset,146.311
257,0.5,LW-Sync,Skew,36.3818
256,0.5,LW-Sync,Offset,143.048
256,0.5,LW-Sync,Skew,24.4924
259,0.5,LW-Sync,Offset,133.223
259,0.5,LW-Sync,Skew,35.4094
258,0.5,LW-Sync,Offset,145.924
258,0.5,LW-Sync,Skew,7.67157
260,0.5,LW-Sync,Offset,151.435
260,0.5,LW-Sync,Skew,71.3935
261,0.5,LW-Sync,Offset,122.334
261,0.5,LW-Sync,Skew,12.822
263,0.5,LW-Sync,Offset,154.692
263,0.5,LW-Sync,Skew,13.9341
262,0.5,LW-Sync,Offset,155.992
262,0.5,LW-Sync,Skew,57.8014
264,0.5,LW-Sync,Offset,143.506
264,0.5,LW-Sync,Skew,45.4717
266,0.5,LW-Sync,Offset,137.084
266,0.5,LW-Sync,Skew,53.8653
267,0.5,LW-Sync,Offset,144.641
267,0.5,LW-Sync,Skew,16.988
265,0.5,LW-Sync,Offset,155.377
265,0.5,LW-Sync,Skew,31.0362
268,0.5,LW-Sync,Offset,176.314
268,0.5,LW-Sync,Skew,30.1612
269,0.5,LW-Sync,Offset,144.787
269,0.5,LW-Sync,Skew,0.204004
271,0.5,LW-Sync,Offset,105.883
271,0.5,LW-Sync,Skew,28.9752
270,0.5,LW-Sync,Offset,152.623
270,0.5,LW-Sync,Skew,10.1948
273,0.5,LW-Sync,Offset,115.158
273,0.5,LW-Sync,Skew,46.9895
274,0.5,LW-Sync,Offset,118.904
274,0.5,LW-Sync,Skew,6.3988
272,0.5,LW-Sync,Offset,144.177
272,0.5,LW-Sync,Skew,35.9974
275,0.5,LW-Sync,Offset,85.7999
275,0.5,LW-Sync,Skew,26.1711
276,0.5,LW-Sync,Offset,159.378
276,0.5,LW-Sync,Skew,25.9451
277,0.5,LW-Sync,Offset,114.891
277,0.5,LW-Sync,Skew,57.5163
278,0.5,LW-Sync,Offset,110.825
278,0.5,LW-Sync,Skew,53.4306
281,0.5,LW-Sync,Offset,82.4138
281,0.5,LW-Sync,Skew,9.26472
279,0.5,LW-Sync,Offset,119.656
279,0.5,LW-Sync,Skew,15.4784
280,0.5,LW-Sync,Offset,143.561
280,0.5,LW-Sync,Skew,19.8511
282,0.5,LW-Sync,Offset,141.844
282,0.5,LW-Sync,Skew,16.5146
283,0.5,LW-Sync,Offset,105.164
283,0.5,LW-Sync,Skew,80.1531
284,0.5,LW-Sync,Offset,131.117
284,0.5,LW-Sync,Skew,11.1638
285,0.5,LW-Sync,Offset,118.858
285,0.5,LW-Sync,Skew,27.8486
286,0.5,LW-Sync,Offset,128.705
286,0.5,LW-Sync,Skew,65.7659
287,0.5,LW-Sync,Offset,130.105
287,0.5,LW-Sync,Skew,12.5419
288,0.5,LW-Sync,Offset,177.601
288,0.5,LW-Sync,Skew,11.1593
289,0.5,LW-Sync,Offset,179.382
289,0.5,LW-Sync,Skew,28.4838
291,0.5,LW-Sync,Offset,139.56
291,0.5,LW-Sync,Skew,25.9561
290,0.5,LW-Sync,Offset,125.813
290,0.5,LW-Sync,Skew,46.6774
292,0.5,LW-Sync,Offset,89.8202
292,0.5,LW-Sync,Skew,50.2076
294,0.5,LW-Sync,Offset,127.964
294,0.5,LW-Sync,Skew,47.9245
295,0.5,LW-Sync,Offset,127.005
295,0.5,LW-Sync,Skew,38.2114
293,0.5,LW-Sync,Offset,163.459
293,0.5,LW-Sync,Skew,54.2578
296,0.5,LW-Sync,Offset,150.16
296,0.5,LW-Sync,Skew,29.4183
297,0.5,LW-Sync,Offset,157.149
297,0.5,LW-Sync,Skew,22.3546
298,0.5,LW-Sync,Offset,166.235
298,0.5,LW-Sync,Skew,63.5534
299,0.5,LW-Sync,Offset,74.9037
299,0.5,LW-Sync,Skew,16.5805
300,0.5,LW-Sync,Offset,143.15
300,0.5,LW-Sync,Skew,40.9301
302,0.5,LW-Sync,Offset,101.3
