Run,TrajectoryPositionNoise,Protocol,Metric,Value
116,0,LW-Sync,Offset,144.383
116,0,LW-Sync,Skew,13.1228
117,0,LW-Sync,Offset,168.189
117,0,LW-Sync,Skew,16.585
119,0,LW-Sync,Offset,139.746
119,0,LW-Sync,Skew,43.4839
120,0,LW-Sync,Offset,116.854
120,0,LW-Sync,Skew,39.0039
121,0,LW-Sync,Offset,111.723
121,0,LW-Sync,Skew,26.4369
122,0,LW-Sync,Offset,138.213
122,0,LW-Sync,Skew,18.3609
118,0,LW-Sync,Offset,126.18
118,0,LW-Sync,Skew,13.1062
124,0,LW-Sync,Offset,105.823
124,0,LW-Sync,Skew,59.8622
123,0,LW-Sync,Offset,144.364
123,0,LW-Sync,Skew,42.8204
125,0,LW-Sync,Offset,147.235
125,0,LW-Sync,Skew,11.4135
126,0,LW-Sync,Offset,191.677
126,0,LW-Sync,Skew,54.696
128,0,LW-Sync,Offset,116.124
128,0,LW-Sync,Skew,25.0362
127,0,LW-Sync,Offset,151.27
127,0,LW-Sync,Skew,45.2767
129,0,LW-Sync,Offset,148.121
129,0,LW-Sync,Skew,0.402615
130,0,LW-Sync,Offset,152.906
130,0,LW-Sync,Skew,31.3286
131,0,LW-Sync,Offset,133.144
131,0,LW-Sync,Skew,19.1964
132,0,LW-Sync,Offset,146.979
132,0,LW-Sync,Skew,75.2653
133,0,LW-Sync,Offset,94.8374
133,0,LW-Sync,Skew,30.98
134,0,LW-Sync,Offset,157.103
134,0,LW-Sync,Skew,16.9202
135,0,LW-Sync,Offset,160.921
135,0,LW-Sync,Skew,24.801
136,0,LW-Sync,Offset,185.709
136,0,LW-Sync,Skew,13.6445
137,0,LW-Sync,Offset,114.295
137,0,LW-Sync,Skew,5.58628
138,0,LW-Sync,Offset,142.314
138,0,LW-Sync,Skew,3.72788
139,0,LW-Sync,Offset,125.007
139,0,LW-Sync,Skew,37.2315
141,0,LW-Sync,Offset,132.741
141,0,LW-Sync,Skew,30.8419
140,0,LW-Sync,Offset,132.656
140,0,LW-Sync,Skew,44.9341
144,0,LW-Sync,Offset,147.598
144,0,LW-Sync,Skew,68.9633
143,0,LW-Sync,Offset,191.581
143,0,LW-Sync,Skew,49.5413
142,0,LW-Sync,Offset,121.055
142,0,LW-Sync,Skew,18.3584
146,0,LW-Sync,Offset,145.497
146,0,LW-Sync,Skew,10.3036
145,0,LW-Sync,Offset,127.465
145,0,LW-Sync,Skew,146.445
147,0,LW-Sync,Offset,149.136
147,0,LW-Sync,Skew,13.8927
148,0,LW-Sync,Offset,189.016
148,0,LW-Sync,Skew,110.011
149,0,LW-Sync,Offset,173.943
149,0,LW-Sync,Skew,63
151,0,LW-Sync,Offset,118.697
151,0,LW-Sync,Skew,29.7294
150,0,LW-Sync,Offset,159.244
150,0,LW-Sync,Skew,52.1637
152,0,LW-Sync,Offset,95.2683
152,0,LW-Sync,Skew,50.9935
154,0,LW-Sync,Offset,115.042
154,0,LW-Sync,Skew,52.5409
156,0,LW-Sync,Offset,193.091
156,0,LW-Sync,Skew,7.01346
155,0,LW-Sync,Offset,105.02
155,0,LW-Sync,Skew,63.3543
153,0,LW-Sync,Offset,105.947
153,0,LW-Sync,Skew,14.7843
157,0,LW-Sync,Offset,204.467
157,0,LW-Sync,Skew,76.3031
159,0,LW-Sync,Offset,160.356
159,0,LW-Sync,Skew,27.0001
158,0,LW-Sync,Offset,129.499
158,0,LW-Sync,Skew,14.3218
160,0,LW-Sync,Offset,187.979
160,0,LW-Sync,Skew,26.7702
161,0,LW-Sync,Offset,202.29
161,0,LW-Sync,Skew,55.1757
162,0,LW-Sync,Offset,94.6135
162,0,LW-Sync,Skew,52.7997
163,0,LW-Sync,Offset,156.365
163,0,LW-Sync,Skew,23.6847
165,0,LW-Sync,Offset,133.203
165,0,LW-Sync,Skew,27.1554
166,0,LW-Sync,Offset,133.985
166,0,LW-Sync,Skew,10.9934
168,0,LW-Sync,Offset,197.863
168,0,LW-Sync,Skew,28.0032
164,0,LW-Sync,Offset,121.788
164,0,LW-Sync,Skew,18.6435
167,0,LW-Sync,Offset,184.316
167,0,LW-Sync,Skew,102.386
169,0,LW-Sync,Offset,123.179
169,0,LW-Sync,Skew,111.145
171,0,LW-Sync,Offset,125.871
171,0,LW-Sync,Skew,36.0119
170,0,LW-Sync,Offset,168.276
170,0,LW-Sync,Skew,9.30343
174,0,LW-Sync,Offset,163.194
174,0,LW-Sync,Skew,17.6513
175,0,LW-Sync,Offset,168.201
175,0,LW-Sync,Skew,25.7981
173,0,LW-Sync,Offset,124.091
